timestamp,protocol,N,f,B,K,replica,host,time_sec,txs_delivered
2026-06-08 01:56:02,honeybadger,16,5,25000,1,10,121.40.255.201,54.150184,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,11,121.43.148.183,54.100593,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,12,121.40.158.250,54.293843,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,13,121.40.117.123,54.062193,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,14,121.40.88.101,54.329856,24992
2026-06-08 01:56:02,honeybadger,16,5,25000,1,15,121.40.118.7,54.458849,24992
2026-06-08 02:13:03,honeybadger,16,5,50000,1,0,120.27.215.50,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,1,116.62.149.8,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,2,47.98.121.97,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,3,116.62.240.167,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,4,121.43.234.253,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,5,121.199.72.252,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,6,121.40.130.83,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,7,121.40.94.52,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,8,120.26.46.218,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,9,120.55.86.74,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,10,121.40.255.201,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,11,121.43.148.183,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,12,121.40.158.250,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,13,121.40.117.123,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,14,121.40.88.101,,
2026-06-08 02:13:03,honeybadger,16,5,50000,1,15,121.40.118.7,,
2026-06-08 02:16:34,honeybadger,16,5,75000,1,0,120.27.215.50,147.484028,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,1,116.62.149.8,147.390569,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,2,47.98.121.97,147.173085,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,3,116.62.240.167,147.255061,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,4,121.43.234.253,147.323041,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,5,121.199.72.252,147.365378,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,6,121.40.130.83,147.7928,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,7,121.40.94.52,147.869574,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,8,120.26.46.218,147.91488,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,9,120.55.86.74,147.906801,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,10,121.40.255.201,148.743851,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,11,121.43.148.183,147.413394,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,12,121.40.158.250,148.58097,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,13,121.40.117.123,147.573403,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,14,121.40.88.101,147.375837,74992
2026-06-08 02:16:34,honeybadger,16,5,75000,1,15,121.40.118.7,147.416862,74992
2026-06-08 02:24:01,honeybadger,16,5,100000,1,0,120.27.215.50,,
2026-06-08 02:24:01,honeybadger,16,5,100000,1,1,116.62.149.8,196.563961,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,2,47.98.121.97,196.898379,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,3,116.62.240.167,196.527153,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,4,121.43.234.253,196.580988,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,5,121.199.72.252,196.48786,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,6,121.40.130.83,197.800714,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,7,121.40.94.52,198.162913,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,8,120.26.46.218,196.557436,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,9,120.55.86.74,200.411534,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,10,121.40.255.201,197.670199,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,11,121.43.148.183,197.621703,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,12,121.40.158.250,199.702797,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,13,121.40.117.123,197.355119,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,14,121.40.88.101,196.670175,100000
2026-06-08 02:24:01,honeybadger,16,5,100000,1,15,121.40.118.7,197.068378,100000
2026-06-08 03:11:51,honeybadger,16,5,250,1,0,120.27.215.50,10.858094,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,1,116.62.149.8,10.853726,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,2,47.98.121.97,10.870914,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,3,116.62.240.167,10.875425,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,4,121.43.234.253,10.878807,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,5,121.199.72.252,10.877219,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,6,121.40.130.83,10.899934,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,7,121.40.94.52,10.904323,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,8,120.26.46.218,10.931832,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,9,120.55.86.74,10.871868,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,10,121.40.255.201,10.918805,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,11,121.43.148.183,10.885869,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,12,121.40.158.250,10.964439,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,13,121.40.117.123,10.979706,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,14,121.40.88.101,10.82145,240
2026-06-08 03:11:51,honeybadger,16,5,250,1,15,121.40.118.7,10.834191,240
2026-06-08 03:13:01,honeybadger,16,5,750,1,0,120.27.215.50,11.241103,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,1,116.62.149.8,11.261434,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,2,47.98.121.97,11.233698,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,3,116.62.240.167,11.235941,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,4,121.43.234.253,11.25673,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,5,121.199.72.252,11.218422,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,6,121.40.130.83,11.247413,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,7,121.40.94.52,11.222151,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,8,120.26.46.218,11.276084,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,9,120.55.86.74,11.261775,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,10,121.40.255.201,11.309085,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,11,121.43.148.183,11.351522,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,12,121.40.158.250,11.322631,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,13,121.40.117.123,11.289475,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,14,121.40.88.101,11.294096,736
2026-06-08 03:13:01,honeybadger,16,5,750,1,15,121.40.118.7,11.250931,736
2026-06-08 03:14:15,honeybadger,16,5,1000,1,0,120.27.215.50,11.68226,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,1,116.62.149.8,11.776413,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,2,47.98.121.97,11.703626,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,3,116.62.240.167,11.805401,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,4,121.43.234.253,11.822276,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,5,121.199.72.252,11.779958,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,6,121.40.130.83,11.884109,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,7,121.40.94.52,11.796003,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,8,120.26.46.218,11.956604,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,9,120.55.86.74,11.830434,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,10,121.40.255.201,11.857278,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,11,121.43.148.183,11.857904,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,12,121.40.158.250,11.911555,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,13,121.40.117.123,11.876323,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,14,121.40.88.101,11.855609,992
2026-06-08 03:14:15,honeybadger,16,5,1000,1,15,121.40.118.7,11.856227,992
2026-06-08 03:20:09,honeybadger,16,5,7500,1,0,120.27.215.50,23.031735,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,1,116.62.149.8,23.021504,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,2,47.98.121.97,22.988691,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,3,116.62.240.167,23.075297,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,4,121.43.234.253,23.06719,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,5,121.199.72.252,22.948714,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,6,121.40.130.83,23.114165,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,7,121.40.94.52,23.10204,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,8,120.26.46.218,23.089064,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,9,120.55.86.74,23.120009,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,10,121.40.255.201,23.047191,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,11,121.43.148.183,23.366539,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,12,121.40.158.250,23.040906,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,13,121.40.117.123,22.872839,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,14,121.40.88.101,22.940004,7488
2026-06-08 03:20:09,honeybadger,16,5,7500,1,15,121.40.118.7,22.99746,7488
2026-06-08 03:46:10,honeybadger,16,5,50000,1,0,120.27.215.50,100.826917,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,1,116.62.149.8,100.920761,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,2,47.98.121.97,100.792581,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,3,116.62.240.167,100.8555,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,4,121.43.234.253,100.876533,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,5,121.199.72.252,100.896523,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,6,121.40.130.83,100.964106,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,7,121.40.94.52,100.954667,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,8,120.26.46.218,101.435758,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,9,120.55.86.74,101.080363,50000
2026-06-08 03:46:10,honeybadger,16,5,50000,1,10,121.40.255.201,101.527984,50000
